id,title,option1,option2,option3,sku,requires_shipping,taxable,featured_image,available,price,grams,compare_at_price,position,product_id,created_at,updated_at
41203797295197,Default Title,Default Title,,,250MCaf59_WB,True,False,,True,299.00,0,299.00,1,7154223841373,2023-10-09T17:04:01+05:30,2023-10-19T22:10:27+05:30
41049056411741,Default Title,Default Title,,,15SMCaf41,True,False,,True,199.00,0,199.00,1,7104489390173,2023-05-29T17:22:34+05:30,2023-10-19T22:10:27+05:30
41232370139229,Default Title,Default Title,,,8SMCaf83,True,False,,True,199.00,0,199.00,1,7164147925085,2023-10-19T13:57:41+05:30,2023-10-19T22:10:27+05:30
41232361029725,Default Title,Default Title,,,30SMCaf104,True,False,,True,199.00,0,199.00,1,7164145926237,2023-10-19T13:51:39+05:30,2023-10-19T22:10:27+05:30
41177052250205,Default Title,Default Title,,,10MCaf221,True,False,,True,99.00,0,99.00,1,7147673092189,2023-09-20T10:28:09+05:30,2023-10-19T22:10:27+05:30
41075448184925,Default Title,Default Title,,,10SMCaf53,True,False,,True,199.00,0,199.00,1,7113102950493,2023-06-23T16:30:50+05:30,2023-10-19T22:10:27+05:30
41049061621853,Default Title,Default Title,,,15SMCaf42,True,False,,True,199.00,0,199.00,1,7104489750621,2023-05-29T17:26:06+05:30,2023-10-19T22:10:27+05:30
41179261698141,Default Title,Default Title,,,15smcaf40,True,False,,True,199.00,0,199.00,1,7148508446813,2023-09-22T10:46:35+05:30,2023-10-19T22:10:27+05:30
41203195609181,Default Title,Default Title,,,CMB465,True,False,,True,478.00,0,598.00,1,7154154209373,2023-10-09T14:38:21+05:30,2023-10-19T22:10:27+05:30
41209829818461,Default Title,Default Title,,,MCaf254,True,False,,True,499.00,0,499.00,1,7155821674589,2023-10-11T09:54:58+05:30,2023-10-19T22:10:27+05:30
41210286342237,Default Title,Default Title,,,MCaf257,True,False,,True,499.00,0,499.00,1,7156022378589,2023-10-11T16:56:25+05:30,2023-10-19T22:10:27+05:30
41210279002205,Default Title,Default Title,,,MCaf255,True,False,,True,499.00,0,499.00,1,7156017528925,2023-10-11T16:46:04+05:30,2023-10-19T22:10:27+05:30
41210285555805,Default Title,Default Title,,,MCaf256,True,False,,True,499.00,0,499.00,1,7156021788765,2023-10-11T16:55:04+05:30,2023-10-19T22:10:27+05:30
41203465322589,Default Title,Default Title,,,CMB466,True,False,,True,508.00,0,598.00,1,7154168692829,2023-10-09T15:11:34+05:30,2023-10-19T22:10:27+05:30
